npaid	smiles
NPA000314	CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)N1CC(CC1C(=O)NC(CCC(=O)N)C(=O)NC(C)(C)C(=O)N2CC(CC2C(=O)NC(C)(C)C(=O)N3CCCC3C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CO)C(=O)O)O)O)NC(=O)C(C)(C)NC(=O)C(CCC(=O)N)NC(=O)C(C)(CC)NC(=O)C(CC5=CC=CC=C5)NC(=O)C
NPA000316	CCCCCCCCC(C(C)C(=O)NC(CCCN(C(=N)N)O)C(=O)NO)OC(=O)C(CCCN(C=O)O)NC(=O)C(COC(=O)C1=CC=CC=C1O)O
NPA000317	C[C@H]1[C@@H](C[C@H]2[C@H]([C@@H]1O)C=C[C@@H]3[C@@]2(C(=O)[C@]4([C@@H](C3)C=CC=CC=CC(=O)O)C(=O)[C@@H](OC4=O)CSC[C@H](C(=O)N[C@@H]5[C@H]([C@@H]([C@@H](O[C@@H]5OC6[C@H]([C@H](C([C@H]([C@@H]6O)O)O)O)O)CO)O)O)NC(=O)C)C)OC(=O)C
NPA000319	CCCCCCCCCCCCCC(=O)NC(C)(C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)NC(CCC(=O)N)C(=O)N[C@@H](CC(C)C)CO
NPA000321	C/C=C\C(=C\[C@@H]1CC[C@H](O1)C)\CO
NPA000326	C[C@H]1/C=C/C=C\C=C(/C(=O)NC2=C(C(=O)C3=C(C(=C(C=C3C2=O)C)O)C(=O)/C(=C/[C@@H]([C@H]([C@H](/C=C/[C@H](C/C=C(/C(=O)C[C@@H]1O)\C)O)C)O)C)/C)Cl)\C
NPA000334	CC1C2=NC(=CS2)C(=O)NC(=C)C(=O)NC(=C)C3=NC(=CO3)C4=C(C=CC(=N4)C(=O)NC(=C)C(=O)N)C5=NC(=CS5)C(=O)NC(C(=O)NC(C6=NC(=CO6)C(=O)NCC7=NC(=CS7)C(=O)N1)CSC)C(C)O
NPA000335	CC(C)CCCCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)C(C)O)CO)CCC(=O)O)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000338	CCC(C)/C=C(\C)/C=C/C(=O)O[C@@H]1[C@H]([C@]2(O[C@@H]([C@]([C@@]1(O2)C(=O)O)(C(=O)O)O)C(=O)O)CCC(=C)[C@H]([C@H](C)CC3=CC=CC=C3)OC(=O)C)O
NPA000347	C[C@@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)NCCCC(=O)N1)CC2=CNC3=CC=CC=C32)CO)C(C)C)CC4=CC=CC=C4)C(C)C
NPA000353	CCC[C@H]1[C@@H]2CC(=O)[C@H]([C@H]([C@@H]([C@@H]3[C@@H](C[C@](O3)(CCC(=C1O)C(=O)O2)C)C)O)O)C
NPA000355	C1=CC=C(C=C1)C[C@H](C(=O)NCCC(=O)N[C@H](CC2=CNC3=CC=CC=C32)[C@H](CC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H]([C@@H](C4=CC=CC=C4)O)C(=O)O)O)O
NPA000356	CCCCCC[C@@H]([C@@H]1CC[C@@H]2[C@@H](CC[C@@H]([C@]2(O1)O)O)O)O
NPA000357	COC1=CC(=CC=C1)OC
NPA000359	CCCCCCCCC1CC(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2CCC[C@@H]2C(=O)N1)CC(=O)N)CO)CCC(=O)N)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000360	CC[C@H](C)C(=O)C(=O)N[C@H]1CC2=CC(=C(C=C2)O)C3=C4C(=CC=C3)[C@]([C@@H]([C@H](NC(=O)[C@H](NC1=O)CC(=O)N)C(=O)N/C=C\C)O)(C(=O)N4)O
NPA000374	CC1C=CC(=O)N1C(=O)/C=C(\CCNC(=O)CC/C=C/C(C)CC/C(=C/Cl)/CCCC#C)/OC
NPA000381	CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(C)C)CC(C)C)CC(C)C)CC2=CC=CC=C2
NPA000388	CC(=O)O[C@H]1C=CC=C2[C@@H]1N3C(=O)[C@]4(N(C(=O)[C@]3(C2)S4)C)CO
NPA000390	CC/C=C/C=C/C(C)(C1=CC(=O)CC(N1)C)O
NPA000391	C1CCCCC[C@@H]2[C@@H](CCCC1)N=C(O2)NC(=O)/C=C/C3=CC=CC=C3
NPA000394	CCCCCCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N1)CCC(=O)N)CC(=O)N)CO)CC(=O)N)CC3=CC=C(C=C3)O)CC(=O)N
NPA000403	C\C=C\COC1=CC(O)=C(C[C@@H]2NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC3=CC=C(OCC=C=C)C=C3)NC(=O)[C@H](CC(C)C)N(C)C2=O)C=C1
