npatlas_id	smiles
NPA032668	Cc1cc(O)c2c3c(ccc2c1)C(=O)c1c(O[C@H]2C[C@@H](O)[C@H](O[C@H]4C[C@@H](O[C@H]5CC[C@H](O[C@H]6C[C@@H](O)[C@H](O[C@H]7C[C@@H](O)[C@H](O)[C@@H](C)O7)[C@@H](C)O6)[C@H](C)O5)[C@H](O)[C@@H](C)O4)[C@@H](C)O2)cccc1C3=O
NPA032664	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)C[C@H](c3ccc4c(c3O)C(=O)c3ccc(CC(C)(CC(=O)O)O[C@H]5CC[C@H](O[C@H]6CC[C@@H](O)[C@H](C)O6)[C@H](C)O5)c(O)c3C4=O)O[C@@H]2C)CC[C@H]1O
NPA032658	C/C=C(\C)C(OC(C)=O)C(C)c1cc(O)c2c(c1O)O[C@]1(C)CC[C@H]3O[C@@H](C(C)(C)O)C[C@H](O)[C@]3(C)[C@H]1C2=O
NPA032657	CC=C(C)C(OC(C)=O)C(C)C1=CC(=O)C2=C(O[C@]3(C)CC[C@H]4O[C@@H](C(C)(C)O)C[C@H](O)[C@]4(C)[C@H]3[C@@H]2O)C1(O)CC(C)=O
NPA032656	C/C=C(\C)C(OC(C)=O)C(C)c1cc(O)c2c(c1O)O[C@]1(C)CC[C@H]3O[C@@H](C(C)(C)O)C[C@H](O)[C@]3(C)[C@H]1[C@@H]2O
NPA032650	CCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(O)CC(C)CCCCCCCCC(O)CN
NPA032649	CCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(O)CC(C)CCCCCC(O)C(O)CC(O)CN
NPA032648	CC[C@@H](C)[C@@H](O)[C@H](C[C@@H](C)CCCCC[C@@H](O)[C@@H](O)C[C@H](O)CN)OC(=O)C[C@@H](CC(=O)O)C(=O)O
NPA032646	CC=C(C)C(=O)[C@@H](C)C1=CC(=O)C2=C(O[C@@]3(C)CC[C@H]4O[C@@H](C(C)(C)O)CC[C@]4(C)[C@H]3C2)C1=O
NPA032645	CC1CC(=O)c2c(cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)CC6=O)c(O)cc(O)c3c2O)O1
NPA032632	O=C1CCC2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1C2C1OC1C3=O
NPA032630	C=C1CC[C@H]2[C@@](C)(CC[C@H]3C(C)(C)[C@@H](OC(C)=O)CC[C@]23C)[C@@H]1Cc1c(O)cc(C)oc1=O
NPA032629	CC1C/C=C/CC/C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
NPA032628	CC1CC2OC2CC/C=C/C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
NPA032627	CCC=C1COC(O)C2=C1C(=O)CC2
NPA032626	Cc1oc2c3c(ccc2c(=O)c1C)CC(C)OC3O
NPA032625	COC1OC(C)Cc2ccc3c(=O)c(C)c(C)oc3c21
NPA032624	CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2OC(C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)CC(SC[C@@H](N=C(C)O)C(=O)O)[C@H]2O[C@@H]2[C@@]1(O)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
NPA032623	CCC1OC(=O)/C=C\[C@H](C)[C@@H](O[C@@H]2OC(C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)CC(SC[C@@H](N=C(C)O)C(=O)O)[C@H]2O[C@H]2[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
NPA032621	C[C@H]1Cc2ccc3c(c2[C@@H](O)C1)C(=O)c1c(O)ccc(O)c1C3=O
NPA032616	CO[C@@H]1CC(=O)CC(=O)O[C@H](C)C[C@@H]2O[C@@H]21
NPA032615	C[C@@H]1CC[C@H](O)C=C[C@H](O)CC(=O)O1
NPA032614	C[C@@H]1CC[C@H](O)C=C[C@@H](O)CC(=O)O1
NPA032613	C[C@@H]1C[C@@H]2O[C@@H]2C=C[C@@H](O)CC(=O)O1
NPA032611	CC(=O)O[C@@H]1c2c3c(cc(O)c2C(=O)O[C@@H]1C)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3
NPA032609	C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@@H]1C3
NPA032603	COc1cc(O)c2c(c1)C(=O)C1=C(C[C@@H](O)[C@@](C)(O)C1)C2=O
NPA032602	COc1cc(O)c2c(c1)C1(OC2=O)C(C)=CC(=O)C1O
NPA032599	CC1=C(CCCCC[C@@H](C)O)COC1=O
NPA032598	COc1c(C)c(O)c(C=O)c2c1C(=O)OC2O
NPA032596	CCCCOC(=O)CC[C@@]1(C(=O)O)OC(=O)C(O)=C1c1ccccc1
NPA032595	CC1OC2CC(=O)OC2C2=C1C(=O)c1cc(-c3cc(O)c4c(c3)C(=O)C3=C(C4=O)C4OC(=O)CC4OC3C)cc(O)c1C2=O
NPA032593	CCCCCC1OC(=O)[C@H](C)N(C)C(=O)C(CCCCC)OC(=O)[C@@H](C)N=C(O)C(CCCCC)OC(=O)[C@H](C)N(C)C(=O)C(CCCCC)OC(=O)[C@@H](C)N(C)C1=O
NPA032592	CCCCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@@H](C)N(C)C1=O
NPA032580	CCCC(=O)C1=C(O)[C@H](CC(=O)O)OC1=O
NPA032579	CC1OC(=O)C(=C2CCCO2)C1=O
NPA032578	CCCCCCCC1OC(=O)Cc2cc(O)cc(O)c21
NPA032577	CCCCCCCC(=O)c1c(O)cc(O)cc1CC(=O)O
NPA032576	CCCCCCCC1OC(=O)c2cc(O)c(O)c(O)c21
NPA032569	CO[C@@H](/C=C/c1csc(-c2csc([C@@H](C)O)n2)n1)[C@@H](C)C(=O)CC(=N)O
NPA032567	COc1oc(CCCCC(C)C(C)=O)c(C)c(=O)c1C
NPA032557	COc1c(C(CC(C)C)OC(C)=O)ccc2c1C(=O)C1(O2)C(=O)C=C(C)C=C1CO
NPA032555	CC1OC(OC2CCC(c3ccc4c(c3O)C(O)=C(CC(=O)O)C(=O)C4=O)O[C@@H]2C)CCC1O
NPA032554	CC=CC=CC=CC(=O)[C@@]1(O)C(=O)OC[C@H]1C
NPA032553	CCCCCCCCCCCCCC1CC(O)=N[C@H]([C@@H](C)O)C(O)=N[C@H](C)C(=O)N2CCC[C@H]2C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@H]([C@@H](O)C(=O)O)C(O)=N[C@H](CO)C(=O)N2CC[C@@H](O)[C@H]2C(O)=N[C@@H]([C@H](O)C(=O)O)C(=O)O1
NPA032552	CC(C)CCCCCCCCCCC1CC(O)=N[C@H]([C@@H](C)O)C(O)=N[C@H](C)C(=O)N2CCC[C@H]2C(O)=N[C@@H](CCCNC(=N)N)C(O)=N[C@H]([C@@H](O)C(=O)O)C(O)=N[C@H](CO)C(=O)N2CC[C@@H](O)[C@H]2C(O)=N[C@@H]([C@H](O)C(=O)O)C(=O)O1
NPA032551	CC(C=CC(=O)O)=CC[C@H](O)[C@@H](C)[C@@H](O)C=CC=CC=C[C@H]1C(C)=C[C@@H]2[C@@H]([C@H]1[C@H](N)c1ccc(O)cc1)C(C)(C)C[C@@]2(C)O
NPA032550	CO[C@H](c1ccc(O)cc1)[C@@H]1[C@@H]2[C@@H](C=C(C)[C@@H]1C=CC=CC=C[C@H](O)[C@H](C)[C@@H](O)CC=C(C)C=CC(=O)O)[C@](C)(O)CC2(C)C
NPA032549	C[C@H]1CCCC=C[C@@H]2CC[C@H](O)[C@H]2[C@H](O)/C=C/C(=O)O1
NPA032548	C[C@H]1CCCC=C[C@H]2CC[C@H](O)[C@H](CC(=O)O1)O2
NPA032536	C/C(=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O)CC[C@@H](O)C(C)(C)O
NPA032535	CCCC(=O)CC[C@H](C)[C@H]1OC(=O)C/C=C(\C)[C@H](O)/C=C(C)/C=C/[C@H]2C(C)=C(O)C(=O)[C@@H]2/C=C\[C@H](O)C[C@H](O)[C@H]1C
NPA032531	CC(=O)C[C@@]1(O)C(=O)C2=c3c(c(O)cc(C)c3=C3O[C@H](C)C(C)(C)[C@]3(O)C2=O)C1=O
NPA032522	Cc1cc(=O)c(O)cc2c1C[C@@H](C)[C@@]1(OC[C@@H](C)[C@@H]1O)O2
NPA032519	Cc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O
NPA032514	CC(=O)OC[C@@]1(C)[C@@H]2C[C@H](O)[C@@]3(C)Oc4cc(-c5cccnc5)oc(=O)c4[C@H](O)[C@@H]3[C@@]2(C)CC[C@@H]1OC(C)=O
NPA032511	CCOC(=O)C1(O)O[C@]2(C(=O)OC)c3c(oc4cc(C)cc(O)c4c3=O)[C@@H]3c4c(oc5cc(C)cc(O)c5c4=O)C[C@H]1[C@@H]32
NPA032508	C[C@@H]1O[C@@H](c2ccc3c(c2O)C(=O)c2ccc4c(c2C3=O)C(=O)C[C@@](C)(O)C4)CC[C@@H]1N(C)C
NPA032507	CC1=C[C@H]2C[C@@H](C)CC[C@@H]2[C@@](C)(/C(O)=C2/C(=O)C(CC(C)C)N=C2O)[C@H]1/C(C)=C/C(=O)O
NPA032496	CC[C@H](C)CCCCc1oc(OC)c(C)c(=O)c1C
NPA032495	CC[C@@H](C)CCCCc1oc(OC)c(C)c(=O)c1C
NPA032492	CC[C@H](C)CCCCc1cc(O)c(C)c(=O)o1
NPA032491	C[C@H]1C=C(CCO)C(=O)O1
NPA032490	CC(O)CC1=C[C@H]([C@H](C)O)OC1=O
NPA032489	C[C@@H]1CC2=C(CO1)C(=O)[C@@](C)(O)[C@H](O)C2
NPA032477	CC1(O)Cc2oc3cc(O)c(O)cc3c(=O)c2CO1
NPA032476	C[C@H]1CCC/C=C/[C@@H]2CC[C@H](O)[C@H]2[C@H](O)/C=C/C(=O)O1
NPA032467	Cc1c(O)c(C(=O)O)c(O)c2c1[C@H](C)[C@@H](C)O[C@@H]2CC(=O)C[C@H]1O[C@H](C)[C@@H](C)c2c(C)c(O)c(C(=O)O)c(O)c21
NPA032466	CC(C)=CCOc1c(C)cc(O)c2c1[C@H](O)c1c(O)ccc(CC=C(C)C)c1OC2=O
NPA032465	CC(C)=CCOc1c(C)cc(O)c2c1[C@@H](O)c1c(O)ccc(CC=C(C)C)c1OC2=O
NPA032464	COc1cc(/C(C)=C/CO)oc(=O)c1C
NPA032459	CC[C@H](O[C@H]1C[C@@](C)(O)[C@H](O[C@H]2CC[C@H](OC(=O)[C@H](C)[C@H](O[C@H]3CC[C@H](O)[C@H](C)O3)c3ccc4c(c3)C(=O)C=C(C)C4=O)[C@H](C)O2)[C@H](C)O1)[C@H](C)[C@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@H]1OC(=O)/C=C/C[C@H](O)C[C@H](O)CCC[C@@H](O)CC[C@@H](C)[C@H](O)C(=O)[C@@]2(O)C[C@@H](O)C[C@@H](C[C@@H](O)C[C@H](O)C[C@H](O)CCC[C@H](O)/C=C/[C@@H]1C)O2
NPA032458	CC[C@H](O[C@H]1C[C@@](C)(O)[C@H](O[C@H]2C[C@H](O)[C@H](OC(=O)[C@H](C)[C@H](O[C@H]3CC[C@H](O)[C@H](C)O3)c3ccc4c(c3)C(=O)C=C(C)C4=O)[C@H](C)O2)[C@H](C)O1)[C@H](C)[C@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@H]1OC(=O)/C=C/C[C@H](O)C[C@H](O)CCC[C@@H](O)CC[C@@H](C)[C@H](O)C(=O)[C@@]2(O)C[C@@H](O)C[C@@H](C[C@@H](O)C[C@H](O)C[C@H](O)CCC[C@H](O)/C=C/[C@@H]1C)O2
NPA032456	COc1cc(C)c(C(=O)c2c(O)cc(OC)cc2O)c(O)c1
NPA032455	COC(O)=N[C@@H]1[C@H](C)O[C@@H](OC2C/C=C(\C)[C@H]3C=C[C@H]4[C@H](O)[C@H](C)C[C@@H](C)[C@@H]4[C@@]3(C)C(O)=C3C(=O)OC4(C[C@H](C)C(CO)=C[C@H]4/C=C\2C)C3=O)C[C@@]1(C)N
NPA032453	COC(=O)c1ccc2c(=O)c3cc(O)cc(C(=O)O)c3oc2c1O
NPA032452	CO[C@]12CCCC[C@H]1[C@H]1O[C@H](C)[C@@H](C)c3c(C)c(O)cc(c31)O2
NPA032450	COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(-c3c(OC)cc(O)c4c3C(=O)C3=C(C[C@@H](O)[C@@](C)(O)[C@@H]3O)C4=O)c1C2=O
NPA032449	COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(-c3c(O)c(C)cc4c3C(=O)c3c(O)cc(OC)cc3C4=O)c1C2=O
NPA032448	COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C[C@@H](O)[C@@](C)(O)C1)C3=O)C(=O)C1=C(C[C@](C)(O)[C@H](O)C1)C2=O
